,alpha,fold_assignment,fold_column,lambda,max_runtime_secs,missing_values_handling,name,offset_column,runtime,seed,standardize,theta,tweedie_variance_power,weights_column
actual,"[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0]",Modulo,,"[11.114257974474292, 6.9021424987019255, 4.286347427043651, 2.6618943710274108, 1.653081501933804, 1.026591619028441, 0.6375307878205491, 0.39591742021403503, 0.24587142554291602, 0.15269032078918002, 0.094823276072938, 0.058886860926955005, 0.036569738290451, 0.022710427038911, 0.014103559948755002, 0.008758549669160001, 0.0054392077309470006, 0.0033778401513850005, 0.002097695961012, 0.0013027047307260001, 0.0008090017080630001, 0.0005024037667260001, 0.000312001250807]",0,MeanImputation,GLM_grid_1_AutoML_20190420_203958_model_1,,300.0,-4601747940664193458,True,1e-10,0,
actual,"[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0]",Modulo,,"[11.114257974474292, 6.9021424987019255, 4.286347427043651, 2.6618943710274108, 1.653081501933804, 1.026591619028441, 0.6375307878205491, 0.39591742021403503, 0.24587142554291602, 0.15269032078918002, 0.094823276072938, 0.058886860926955005, 0.036569738290451, 0.022710427038911, 0.014103559948755002, 0.008758549669160001, 0.0054392077309470006, 0.0033778401513850005, 0.002097695961012, 0.0013027047307260001, 0.0008090017080630001, 0.0005024037667260001, 0.000312001250807]",0,MeanImputation,GLM_grid_1_AutoML_20190420_204019_model_1,,300.0,310247490715707328,True,1e-10,0,
actual,"[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0]",Modulo,,"[11.114257974474292, 6.9021424987019255, 4.286347427043651, 2.6618943710274108, 1.653081501933804, 1.026591619028441, 0.6375307878205491, 0.39591742021403503, 0.24587142554291602, 0.15269032078918002, 0.094823276072938, 0.058886860926955005, 0.036569738290451, 0.022710427038911, 0.014103559948755002, 0.008758549669160001, 0.0054392077309470006, 0.0033778401513850005, 0.002097695961012, 0.0013027047307260001, 0.0008090017080630001, 0.0005024037667260001, 0.000312001250807]",0,MeanImputation,GLM_grid_1_AutoML_20190420_204025_model_1,,300.0,2384929540719194225,True,1e-10,0,
actual,"[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0]",Modulo,,"[11.114257974474292, 6.9021424987019255, 4.286347427043651, 2.6618943710274108, 1.653081501933804, 1.026591619028441, 0.6375307878205491, 0.39591742021403503, 0.24587142554291602, 0.15269032078918002, 0.094823276072938, 0.058886860926955005, 0.036569738290451, 0.022710427038911, 0.014103559948755002, 0.008758549669160001, 0.0054392077309470006, 0.0033778401513850005, 0.002097695961012, 0.0013027047307260001, 0.0008090017080630001, 0.0005024037667260001, 0.000312001250807]",0,MeanImputation,GLM_grid_1_AutoML_20190421_181829_model_1,,800.0,-364012362282003650,True,1e-10,0,
actual,"[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0]",Modulo,,"[11.114257974474292, 6.9021424987019255, 4.286347427043651, 2.6618943710274108, 1.653081501933804, 1.026591619028441, 0.6375307878205491, 0.39591742021403503, 0.24587142554291602, 0.15269032078918002, 0.094823276072938, 0.058886860926955005, 0.036569738290451, 0.022710427038911, 0.014103559948755002, 0.008758549669160001, 0.0054392077309470006, 0.0033778401513850005, 0.002097695961012, 0.0013027047307260001, 0.0008090017080630001, 0.0005024037667260001, 0.000312001250807]",0,MeanImputation,GLM_grid_1_AutoML_20190421_183436_model_1,,1000.0,5383177068170629325,True,1e-10,0,
actual,"[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0]",Modulo,,"[11.114257974474292, 6.9021424987019255, 4.286347427043651, 2.6618943710274108, 1.653081501933804, 1.026591619028441, 0.6375307878205491, 0.39591742021403503, 0.24587142554291602, 0.15269032078918002, 0.094823276072938, 0.058886860926955005, 0.036569738290451, 0.022710427038911, 0.014103559948755002, 0.008758549669160001, 0.0054392077309470006, 0.0033778401513850005, 0.002097695961012, 0.0013027047307260001, 0.0008090017080630001, 0.0005024037667260001, 0.000312001250807]",0,MeanImputation,GLM_grid_1_AutoML_20190421_184305_model_1,,1200.0,1591268387810742305,True,1e-10,0,
actual,"[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0]",Modulo,,"[11.114257974474292, 6.9021424987019255, 4.286347427043651, 2.6618943710274108, 1.653081501933804, 1.026591619028441, 0.6375307878205491, 0.39591742021403503, 0.24587142554291602, 0.15269032078918002, 0.094823276072938, 0.058886860926955005, 0.036569738290451, 0.022710427038911, 0.014103559948755002, 0.008758549669160001, 0.0054392077309470006, 0.0033778401513850005, 0.002097695961012, 0.0013027047307260001, 0.0008090017080630001, 0.0005024037667260001, 0.000312001250807]",0,MeanImputation,GLM_grid_1_AutoML_20190421_184315_model_1,,1200.0,-3187818428806107235,True,1e-10,0,
